"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",13.0214620087948,13.0103,4.01342463491009,4.010433,6.4752605,19.656045,1.00016432915482,17667.4358940201,23088.0101151579
"beta[1]",-0.127760941,-0.1258375,0.0222959267454855,0.020734161,-0.16696215,-0.094916955,1.00006927358957,30697.3063970454,23195.1942380146
"beta[2]",0.0219763257846042,0.02188345,0.00839752692473191,0.00823124694,0.008295238,0.03584203,1.00017100249837,32180.064449714,28382.1400490309
"beta[3]",0.009182991041266,0.009984395,0.0345993150878429,0.03432004023,-0.048711165,0.0647857699999999,1.000407623291,29251.6553036389,27875.9744136471
"beta[4]",1.43686516401725,1.43276,0.572834128614763,0.569325813,0.4995208,2.386202,1.00006146563744,37386.8732826508,30230.2653132583
"beta[5]",-6.707564694347,-6.676785,2.41863587802727,2.397430917,-10.734705,-2.7860215,1.00016388714311,24700.2816983023,26558.7161558579
"beta[6]",4.871762611,4.87316,0.463801490502971,0.467085717,4.1147075,5.6277915,1.00009497035564,20440.3788310396,25965.3784756391
"beta[7]",-0.037673755949,-0.03769345,0.00798934509974232,0.00798498707999999,-0.050671355,-0.024520205,1.00000989681219,26327.1031260972,27034.5565442831
"beta[8]",-0.88552302545,-0.884063,0.135394472592954,0.1353102303,-1.1101145,-0.66498695,0.999996180047209,25888.3497755804,27294.9716710882
"beta[9]",0.141628780422325,0.1416875,0.0416143264733735,0.0416892294,0.073661605,0.21001755,1.00027187284698,24276.8574890005,27184.2467415302
"beta[10]",-0.0112677941415,-0.01128665,0.00211770580796055,0.00208512864,-0.01468761,-0.00775825700000001,1.00001341440365,27362.1411263456,27458.2674585037
"beta[11]",-0.605728906825,-0.6057275,0.0784292297197035,0.0773316747,-0.73446345,-0.4768158,1.00011385865642,32141.7823061076,27873.5952172526
"beta[12]",0.0110407244155,0.0110534,0.0018566215275756,0.001856044701,0.0079558825,0.01408562,1.00009561206624,33646.783525067,28939.5901282031
"beta[13]",-0.277248937775,-0.276851,0.0430796346757142,0.0423971709,-0.34876965,-0.207162,1.00005595433706,23692.2923870326,27306.8231352198
