"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",14.983062850965,14.9663,4.58198202526085,4.53045495,7.48794,22.569125,1.00016832349122,13142.5637472503,18717.3200528072
"beta[1]",-0.118506015263,-0.1232905,0.0320691745396882,0.0313688508,-0.162779,-0.0589239300000001,1.00013203435841,26537.700366363,22801.1245797707
"beta[2]",0.0354584476607282,0.0355573,0.010376775602353,0.01029680526,0.01839738,0.05231835,1.0000723735167,24820.6373425395,25325.1331653529
"beta[3]",0.0094355044451805,0.009929145,0.0369820395486194,0.03685202451,-0.051857685,0.0694564399999998,1.00001069421197,27287.0975718399,26374.7572229346
"beta[4]",1.48831099428685,1.47139,0.611617930770217,0.607539828,0.5190535,2.519625,1.00007220493657,31271.1845012062,24182.446026715
"beta[5]",-9.017767053985,-9.03336,2.80377577358322,2.808896895,-13.626475,-4.3718235,1.00014431407177,21224.3154923863,24979.8467073666
"beta[6]",5.2486897265,5.247175,0.459997052010544,0.457708272,4.4945955,6.0042265,1.00003592256445,14863.2175064958,21661.8857474919
"beta[7]",-0.0257442575559177,-0.02564515,0.0100086312031194,0.01001674212,-0.04225828,-0.00935007700000001,1.00003769260718,19415.1890661852,24539.9649796201
"beta[8]",-0.991375814225,-0.990959,0.145966508715116,0.1461673101,-1.2330205,-0.75361685,1.00014137786415,23676.5974988109,24243.921150342
"beta[9]",0.180238077549425,0.180977,0.0514560010426659,0.0512838753,0.09429366,0.26405225,1.00025701734621,18063.1462090102,23147.1589782332
"beta[10]",-0.0102956184938425,-0.01036065,0.00260530629731155,0.002583022785,-0.01449596,-0.0058781515,1.00021323990378,19997.706955585,24105.4447816182
"beta[11]",-0.745249375825,-0.745797,0.0926428431273226,0.0926484153,-0.89653425,-0.59201195,1.00019731515608,21483.7509416946,25326.1592099967
"beta[12]",0.01169154899125,0.0116461,0.00198341069447816,0.00192752826,0.008488356,0.014999525,1.00002977324357,31780.1695090173,27227.9772152908
"beta[13]",-0.308908865125,-0.308,0.0492438785039241,0.0498368577000001,-0.39094985,-0.22886095,1.00013065795647,18356.2917892795,24039.0624260945
