"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",36.458798775,36.4633,5.07037407501956,5.03127723,28.12319,44.81021,1.00039592581198,18019.2873434728,23938.3445753072
"beta[1]",-0.107954573405302,-0.1077415,0.03312692738546,0.03316739286,-0.1623304,-0.05350332,0.999990324913911,42660.5979179558,29663.2396418927
"beta[2]",0.0464146354307325,0.04633375,0.0137836467550618,0.01375207869,0.02384228,0.06920395,1.00006747807701,35258.3436118762,29918.4991850042
"beta[3]",0.0200553470975324,0.0201421,0.0616186545648714,0.06123857061,-0.08155699,0.1213851,1.00005592221749,34526.7207369365,30190.2724512586
"beta[4]",2.69433906537725,2.69078,0.864026260763559,0.856112544,1.274806,4.1114155,1.00001446248226,48946.8078892426,28847.9385846341
"beta[5]",-17.797502129,-17.81785,3.80973032735491,3.810282,-24.057405,-11.53135,1.00036755054463,28728.1546545307,29107.0032982707
"beta[6]",3.81116868525,3.812045,0.41476829908419,0.411532695,3.123864,4.4909165,1.00016628594083,23280.5740167903,28539.1397731496
"beta[7]",0.000684489600431575,0.0006420365,0.0132861125985398,0.013246430547,-0.021153525,0.02250781,1.00005305859334,36062.5858205889,29788.6383824133
"beta[8]",-1.47625222665,-1.47634,0.201602576060724,0.201314841,-1.806412,-1.1451065,1.00006951382614,30599.2753956944,29809.9989697787
"beta[9]",0.30569001675,0.3054055,0.0663079441692007,0.0663026133,0.1969783,0.4151355,1.00024266927469,23921.387189447,27946.6764279787
"beta[10]",-0.0122935004779225,-0.0123073,0.00377690473164821,0.003754973607,-0.0184757,-0.00606113400000001,1.00008142555707,25027.5724312161,28529.6243764459
"beta[11]",-0.952764925775,-0.9523325,0.131892929387855,0.1308357435,-1.1707215,-0.73569635,1.00017119091144,27126.2328031351,28973.8308394343
"beta[12]",0.0093187502172,0.009308515,0.00269731698290188,0.002680177563,0.0048889515,0.0137337,1.00016429045051,50871.2058423906,30534.7726174352
"beta[13]",-0.5244823891,-0.5243035,0.0509371175100693,0.051194178,-0.60785185,-0.4402411,1.00014680481119,30284.4586751414,31537.5446888446
